0  151
1  184
4  183
2  444
3  427
5  319
6  434
8  204
7  398
10  245
9  370
11  398
12  347
14  178
13  318
16  183
15  253
17  330
18  336
19  440
21  151
20  332
22  203
23  163
26  110
24  327
27  115
25  251
28  176
29  189
30  241
31  236
32  227
33  192
34  124
35  120
36  169
38  98
37  161
40  109
39  172
41  175
42  105
45  63
43  123
44  124
46  109
49  2309
48  3762
50  2345
51  2093
53  1565
54  1381
55  1697
56  1306
57  1004
58  126027
59  29287
47  315614
52  328949
 1125 0  153
1  260
2  435
4  178
3  436
6  198
5  399
8  272
7  361
10  316
9  462
11  485
13  180
12  372
15  139
14  302
17  211
16  314
19  246
18  394
21  130
20  323
22  194
23  150
24  240
26  133
25  183
28  121
29  239
27  329
30  212
31  185
33  165
32  193
34  115
35  101
36  173
38  92
37  146
40  106
39  173
41  164
42  98
43  125
45  86
44  117
47  50
46  166
49  2143
50  2168
51  1380
52  1724
54  4345
55  1841
56  1846
57  2283
58  1376
59  562
60  129129
61  871
53  255742
48  297567
